ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
57576575,MT,IP-0000022-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2063*01,FML2E,XP32,0AW40000,MINI,COOPER,M1,M1,1,1770,1568,0,0,2495,1484,1493,ELECTRIC,E,,,75,,,,,,P,2021,,,
57576576,MT,IP-13_2018_045-JMZ-1,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*1803*06,KF,GW2,AEW0,MAZDA,CX-5,M1,M1,1,2235,1680,145,186,2700,1595,1595,DIESEL,M,2191,135,,,,,,,P,2021,,,
57576577,MT,IP-HNPMBF2427-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0405*27,L,P,HNPJC12100,PEUGEOT,308,M1,M1,1,1735,1324,101,125,2620,1563,1557,PETROL,M,1199,81,,,,,,,P,2021,,,
57576578,MT,IP-HNE___MB6D542C-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,P,HNEKJ1B500,PEUGEOT,208,M1,M1,1,1595,1262,98,119,2540,1500,1500,PETROL,M,1199,74,,E2  28 29,,2.1,,,P,2021,,,
57576579,MT,IP-11-NLH-2018-0022,HYUNDAI,HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET AS,,E5*2007/46*1087*08,GB,B5P71,D71AZ1,HYUNDAI,I20,M1,M1,1,1650,1305,111,127,2570,1520,1519,PETROL,M,998,73,,,,,,,P,2021,,,
57576580,MT,IP-1320180501-JMZ-1,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*1972*03,BP,6HE,6CW00,MAZDA,MAZDA 3,M1,M1,1,1875,1517,82,97,2725,1570,1580,PETROL,H,1998,90,,,,,,,P,2021,,,
57576581,MT,IP-BX72_2019_00006-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3165*04,J2K,B7JA12X,5GTTPNAXLA,FORD,PUMA,M1,M1,1,1810,1429,110,138,2588,1562,1518,PETROL,M,999,92,,E9  28 29,,2.2,,,P,2021,,,
57576582,MT,IP-BX72_2019_00006-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3165*04,J2K,B7JA12X,5GTPPNAXLAP,FORD,PUMA,M1,M1,1,1815,1458,110,140,2588,1562,1518,PETROL,M,999,91,,E9  28 29,,2.2,,,P,2021,,,
57576583,MT,IP-AP9YA004BH0AT00-WP1-1,VW-SAIC,PORSCHE,DR ING HCF PORSCHE AG,,E13*2007/46*0900*08,9YA,EF22,1205101,PORSCHE,CAYENNE E-HYBRID,M1,M1,1,3030,2568,57,70,2895,1687,1673,PETROL/ELECTRIC,P,2995,250,224,,,,,,P,2021,,,43
57576584,MT,IP-09-JN1-2018-0002,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E5*2007/46*1029*04,J11,A,A88,NISSAN,QASHQAI,M1,M1,1,1955,1611,110,145,2646,1560,1560,DIESEL,M,1461,85,,,,,,,P,2021,,,
57576585,MT,IP-0000461-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1797*10,G3X,TS12,IAW50000,BMW,X3 XDRIVE30E,M1,M1,1,2620,2219,48,45,2864,1620,1636,PETROL/ELECTRIC,P,1998,135,165,,,,,,P,2021,,,48
57576586,MT,IP-JBA1M6PJT4A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0684*08,RJB,HE2,M66UA1AA5200,RENAULT,CAPTUR,M1,M1,1,1734,1396,121,134,2639,1554,1541,PETROL,M,999,67,,E9  E9 29 28,,1.9,,,P,2021,,,
57576587,MT,IP-11KNA2018-0014,KIA,KIA,KIA CORPORATION,,E5*2007/46*1077*02,YB,C5P21,D71BZ1,KIA,STONIC,M1,M1,1,1670,1342,117,140,2580,1537,1544,PETROL,M,998,88,,E5 E5 29,,1,,,P,2021,,,
57576588,MT,IP-11KNA2018-0014,KIA,KIA,KIA CORPORATION,,E5*2007/46*1077*02,YB,C5P21,D71BZ1,KIA,STONIC,M1,M1,1,1670,1342,117,140,2580,1537,1544,PETROL,M,998,88,,E5 E5 29,,1,,,P,2021,,,
57576589,MT,IP-04-KNA-2018-1068,KIA,KIA,KIA CORPORATION,,E4*2007/46*1139*08,DE,C5P21,D61AY1,KIA,NIRO,M1,M1,1,2000,1725,29,31,2700,1565,1579,PETROL/ELECTRIC,P,1580,77,122,,,,,,P,2021,,,
57576590,MT,IP-BX72_2019_00006-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3165*04,J2K,B7JA12X,5GTPPNAXLAP,FORD,PUMA,M1,M1,1,1815,1453,110,139,2588,1562,1518,PETROL,M,999,92,,E9  28 29,,2.2,,,P,2021,,,
57576591,MT,IP-BX72_2019_00007-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3165*04,J2K,B7JB12X,5CFPTNAXMAC,FORD,PUMA,M1,M1,1,1760,1387,68,89,2588,1562,1518,PETROL,H,998,92,,,,,,,P,2021,,,
